mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"1M_8MS_125_7:019",19,,78.6282,-0.206222,9.97198,0,0,79,1377,21,2124,-747
"1M_8MS_125_7:020",20,,94.5271,-0.199235,10.9101,0,0,95,4192,65,2120,2072
"1M_8MS_125_7:021",21,,52.4868,-0.205573,11.2085,0,0,52,7820,122,2043,5777
"1M_8MS_125_7:022",22,,104.084,-0.203616,10.2763,0,0,104,4360,68,2110,2250
"1M_8MS_125_7:023",23,,101.728,-0.195347,11.5086,0,1,102,4205,65,2124,2081
"1M_8MS_125_7:024",24,,6.70039,-0.19049,12.0658,0,0,7,4356,68,2118,2238
"1M_8MS_125_7:025",25,,8.79584,-0.19219,10.4427,0,1,9,3840,60,2126,1714
"1M_8MS_125_7:026",26,,19.3168,-0.203277,10.1072,0,1,19,4096,64,2109,1987
"1M_8MS_125_7:027",27,,62.5884,-0.204879,10.6326,0,0,63,354,5,2125,-1771
"rx msg: ��0>�`�g�u8S�",-1,,103.575,-0.209025,10.666,1,0,104,2635,41,2116,519
"1M_8MS_125_7:029",29,,5.54971,-1.20501,10.654,0,0,5,4083,63,2110,1973
"1M_8MS_125_7:030",30,,98.2357,-0.190638,10.5239,0,1,98,2632,41,2109,523
"1M_8MS_125_7:031",31,,92.1905,-0.199513,11.6188,0,0,92,4164,65,2111,2053
"1M_8MS_125_7:032",32,,59.2199,-0.198248,11.9817,0,0,59,131,2,2109,-1978
"1M_8MS_125_7:033",33,,86.2847,-0.196213,11.6978,0,0,86,4305,67,2109,2196
"1M_8MS_125_7:034",34,,81.4894,-0.204066,11.4463,0,0,81,4160,65,2042,2118
"1M_8MS_125_7:035",35,,24.4445,-0.202701,10.5826,0,0,24,6721,105,2111,4610
"1M_8MS_125_7:036",36,,105.118,-0.194153,11.5273,0,1,105,3066,47,2107,959
"1M_8MS_125_7:037",37,,51.6518,-0.203172,10.2761,0,0,52,3986,62,2120,1866
"1M_8MS_125_7:038",38,,66.7017,-0.190559,10.4979,0,0,67,8175,127,2122,6053
"1M_8MS_125_7:039",39,,74.8576,-0.19354,11.5158,0,1,75,4009,62,2128,1881
"1M_8MS_125_7:040",40,,117.936,-0.194444,11.4135,0,0,118,4210,65,2113,2097
"1M_8MS_125_7:041",41,,113.939,-0.196131,11.0391,0,0,114,3009,47,2126,883
"1M_8MS_125_7:042",42,,9.50857,-1.20516,10.8946,0,0,9,4537,70,2110,2427
"1M_8MS_125_7:043",43,,37.8499,-0.194694,11.4573,1,1,38,6620,103,2128,4492
"1M_8MS_125_7:044",44,,10.9435,-0.196458,10.8263,0,0,11,4095,63,2129,1966
"1M_8MS_125_7:045",45,,73.9512,-0.196924,11.3907,0,0,74,4014,62,2108,1906
"1M_8MS_125_7:046",46,,83.509,-0.197352,10.1307,0,1,84,2692,42,2013,679
"1M_8MS_125_7:047",47,,77.6368,-0.204322,10.3603,0,0,78,999,15,2127,-1128
"1M_8MS_125_7:048",48,,125.995,-0.199935,10.895,0,0,126,4058,63,2127,1931
"1M_8MS_125_7:049",49,,78.4065,-0.198649,10.797,0,0,78,2284,35,2042,242
